Name,Barangay
P1 - KZA,Santa Catalina
P2  - KZA,Rio Hondo
P3 - KZA,Santa Maria
P4 - KZA,Calarian
P5 - KZA,Putik
P6 - KZA,San Jose Cawa-cawa
P7 - KZA,San Roque KZA
P8 - KZA,Tulungatong
P9 - KZA,Calarian
P10 - KZA,Canelar
P11 - KZA,Lunzuran
P1 - KMG,Lagao (1st & 3rd)
P2 - KMG,Labangal
P3 - KMG,Dadiangas East
P4 - KMG,Lagao (1st & 3rd)
P5 - KMG,Bula
P6 - KMG,Fatima
P7 - KMG,Olympog
P8 - KMG,Lagao (1st & 3rd)
P9 - KMG,Labangal
P10 - KMG,Malapatan
P1 - KMM,Tantangan
P2 - KMM,Poblacion Zone III
P3 - KMM,Santo Niño (Barrio Dos)
P4 - KMM,General Paulino Santos (Barrio Uno)
P5 - KMM,Topland
P6 - KMM,San Isidro
P7 - KMM,Santa Cruz
P8 - KMM,Santa Cruz
P9 - KMM,Banga
P10 - KMM,Mambucal